dataset_id,date_of_contribution,name_contact,email_contact,doi_dataset,doi_publication,comments_reference,species_reported,comments_taxonomy,realm_general,realm_specific,elevation_of_collection,depth_of_collection,lat_gg,lat_mm,lat_ss,long_gg,long_mm,long_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,strategy_of_protection,sex,life_stage_general_initial,life_stage_general_final,life_stage_specific_initial,life_stage_specific_final,size_type,size_units,size_value_initial,size_value_final,test_temperature,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,development_time,development_time_unit,comments_development
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),,larva,adult,,,fresh mass,milligram,,,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),,larva,adult,,,fresh mass,milligram,,,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),,larva,adult,,,fresh mass,milligram,,,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),,larva,adult,,,fresh mass,milligram,,,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),,larva,adult,,,fresh mass,milligram,,,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),female,larva,adult,,,fresh mass,milligram,,,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",93,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),,larva,adult,,,fresh mass,milligram,,,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),,larva,adult,,,fresh mass,milligram,,,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),female,larva,adult,,,fresh mass,milligram,,34.22,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",93,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),,larva,adult,,,fresh mass,milligram,,,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",90,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),male,larva,adult,,,fresh mass,milligram,,57.95,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",83,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),,larva,adult,,,fresh mass,milligram,,,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),male,larva,adult,,,fresh mass,milligram,,39.22,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",81,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),male,larva,adult,,,fresh mass,milligram,,40.57,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",94,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),,larva,adult,,,fresh mass,milligram,,,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),,larva,adult,,,fresh mass,milligram,,,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),,larva,adult,,,fresh mass,milligram,,,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),,larva,adult,,,fresh mass,milligram,,,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",96,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),female,larva,adult,,,fresh mass,milligram,,36.95,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",93,Days,
Jorissen_et_al_2023,28-03-2023,Sarah_Jorissen,sarah.jorissen@kuleuven.be,https://doi.org/10.48804/M9FUPT,https://doi.org/10.1016/j.envpol.2023.121471,,Lestes_viridis,,freshwater,freshwater,,,51,9,19.1,4,23,55.6,field,,01-01-2016,01-01-2016,,yes,,,20,14L_10D,,,,,"No food source as we collected eggs from the field, after hatching they received Artemia nauplii",no,unprotected (spawned individually and freely into the environment),,larva,adult,,,fresh mass,milligram,,,20,,,,,14L_10D,,"Control conditions and high food level. Larvae from the high food level received ad libitum Artemia nauplii six days a week. After moulting into the final instar, larvae additionally were fed three chironomids three times a week",,Days,
